origin,destination,weight,distance,carrier,season,weather_score,traffic_score,is_delayed,delay_days
Kolkata,Lucknow,3370,800,DHL,Summer,8,6,1,3
Bangalore,Jaipur,380,800,FedEx,Autumn,7,5,1,3
Hyderabad,Delhi,4692,800,DTDC,Winter,2,3,0,0
Delhi,Lucknow,338,800,BlueDart,Monsoon,8,7,1,5
Bangalore,Hyderabad,4695,800,DHL,Autumn,2,4,0,0
Kolkata,Ahmedabad,1800,800,Delhivery,Autumn,10,6,0,0
Mumbai,Chennai,786,800,DTDC,Monsoon,1,9,0,0
Mumbai,Chennai,2032,800,BlueDart,Summer,3,6,0,0
Lucknow,Pune,4684,800,Delhivery,Monsoon,3,4,0,0
Jaipur,Delhi,4326,800,BlueDart,Winter,6,10,0,0
Ahmedabad,Delhi,1197,800,DHL,Winter,3,2,0,0
Mumbai,Hyderabad,1513,800,Delhivery,Monsoon,7,9,1,5
Pune,Hyderabad,3301,800,DHL,Autumn,8,4,1,3
Bangalore,Delhi,3335,800,Delhivery,Monsoon,3,4,1,3
Pune,Kolkata,197,800,DTDC,Winter,9,2,1,3
Kolkata,Pune,1224,800,FedEx,Monsoon,1,5,0,0
Mumbai,Jaipur,3296,800,FedEx,Summer,3,6,0,0
Ahmedabad,Pune,3456,800,BlueDart,Monsoon,3,10,1,4
Kolkata,Jaipur,1119,800,Delhivery,Autumn,7,6,1,4
Hyderabad,Lucknow,2531,800,DHL,Summer,5,3,1,2
Hyderabad,Kolkata,4949,800,DTDC,Winter,4,9,1,3
Pune,Kolkata,3889,800,DTDC,Monsoon,2,7,1,4
Jaipur,Chennai,540,800,DTDC,Autumn,7,3,1,3
Delhi,Lucknow,1080,800,FedEx,Autumn,3,4,0,0
Jaipur,Kolkata,3146,800,DHL,Winter,7,7,0,0
Lucknow,Delhi,972,800,DTDC,Monsoon,10,8,1,5
Jaipur,Pune,1415,800,DTDC,Autumn,7,6,0,0
Lucknow,Ahmedabad,3147,800,BlueDart,Summer,2,4,0,0
Lucknow,Pune,526,800,Delhivery,Monsoon,7,2,1,4
Ahmedabad,Bangalore,3174,800,Delhivery,Winter,6,10,0,0
Mumbai,Kolkata,1501,800,Delhivery,Summer,10,8,1,4
Ahmedabad,Kolkata,3699,800,BlueDart,Monsoon,4,1,1,3
Lucknow,Hyderabad,4238,800,FedEx,Autumn,5,9,0,0
Kolkata,Mumbai,4419,800,BlueDart,Winter,8,8,0,0
Hyderabad,Chennai,600,800,DTDC,Winter,5,3,0,0
Lucknow,Kolkata,1553,800,DHL,Monsoon,3,10,0,0
Ahmedabad,Pune,3066,800,DTDC,Winter,2,4,0,0
Kolkata,Hyderabad,2216,800,DTDC,Summer,6,10,1,4
Ahmedabad,Mumbai,3349,800,DHL,Monsoon,6,4,0,0
Jaipur,Ahmedabad,2718,800,Delhivery,Summer,7,2,0,0
Bangalore,Jaipur,4039,800,BlueDart,Winter,8,10,1,4
Pune,Ahmedabad,757,800,FedEx,Winter,4,5,0,0
Delhi,Kolkata,810,1500,DTDC,Winter,8,3,1,4
Ahmedabad,Jaipur,1507,800,DTDC,Summer,1,1,0,0
Delhi,Hyderabad,1389,800,FedEx,Winter,6,2,0,0
Chennai,Lucknow,689,800,BlueDart,Monsoon,6,7,1,4
Ahmedabad,Kolkata,3780,800,DTDC,Autumn,3,1,0,0
Bangalore,Mumbai,3352,800,FedEx,Monsoon,9,2,0,0
Delhi,Lucknow,906,800,DTDC,Autumn,5,10,0,0
Lucknow,Kolkata,1556,800,Delhivery,Winter,1,7,1,2
Ahmedabad,Hyderabad,3136,800,Delhivery,Monsoon,7,1,1,4
Mumbai,Kolkata,693,800,DTDC,Summer,10,7,0,0
Pune,Hyderabad,1305,800,DTDC,Autumn,3,8,1,3
Bangalore,Jaipur,1395,800,Delhivery,Summer,10,2,1,4
Delhi,Chennai,952,800,DTDC,Autumn,10,4,0,0
Bangalore,Hyderabad,3290,800,BlueDart,Winter,4,7,1,3
Kolkata,Delhi,1043,1500,BlueDart,Monsoon,6,1,1,4
Pune,Delhi,2796,800,DHL,Autumn,8,6,1,3
Lucknow,Ahmedabad,2243,800,BlueDart,Monsoon,4,5,1,3
Ahmedabad,Hyderabad,3655,800,DTDC,Autumn,9,6,1,4
Ahmedabad,Chennai,1630,800,DTDC,Autumn,8,8,1,4
Ahmedabad,Kolkata,3545,800,FedEx,Winter,10,1,1,3
Pune,Mumbai,3215,800,BlueDart,Autumn,10,3,0,0
Mumbai,Pune,2892,800,Delhivery,Summer,6,9,1,4
Chennai,Jaipur,4914,800,Delhivery,Autumn,7,8,0,0
Hyderabad,Lucknow,180,800,DHL,Autumn,8,4,1,3
Jaipur,Pune,1563,800,FedEx,Autumn,2,10,0,0
Delhi,Hyderabad,3907,800,Delhivery,Winter,5,9,0,0
Mumbai,Chennai,1605,800,DHL,Monsoon,7,7,1,4
Lucknow,Jaipur,1633,800,BlueDart,Monsoon,8,2,0,0
Delhi,Ahmedabad,4132,800,FedEx,Winter,5,1,1,2
Ahmedabad,Kolkata,1101,800,FedEx,Summer,3,1,0,0
Bangalore,Chennai,2847,350,DTDC,Summer,6,3,0,0
Lucknow,Hyderabad,417,800,BlueDart,Winter,5,10,0,0
Delhi,Chennai,4179,800,FedEx,Monsoon,8,2,1,4
Ahmedabad,Hyderabad,689,800,DHL,Summer,9,4,0,0
Delhi,Kolkata,4954,1500,Delhivery,Winter,9,8,1,5
Bangalore,Delhi,4975,800,BlueDart,Monsoon,6,5,0,0
Ahmedabad,Jaipur,246,800,BlueDart,Summer,4,5,1,2
Chennai,Kolkata,2784,1660,FedEx,Summer,4,6,0,0
Mumbai,Lucknow,3447,800,FedEx,Winter,9,5,1,3
Kolkata,Pune,3367,800,FedEx,Monsoon,4,5,0,0
Jaipur,Delhi,2887,800,DHL,Summer,8,7,0,0
Pune,Chennai,2433,800,DTDC,Winter,9,6,1,4
Jaipur,Kolkata,4724,800,FedEx,Summer,5,10,0,0
Lucknow,Bangalore,3157,800,DTDC,Monsoon,6,2,0,0
Jaipur,Lucknow,1042,800,DTDC,Autumn,3,1,1,2
Ahmedabad,Kolkata,2864,800,BlueDart,Summer,5,1,1,2
Chennai,Delhi,2950,800,Delhivery,Monsoon,5,4,1,4
Kolkata,Bangalore,3711,1900,Delhivery,Summer,2,2,1,3
Mumbai,Lucknow,4080,800,DHL,Autumn,10,6,0,0
Mumbai,Pune,3142,800,DHL,Autumn,6,9,1,3
Bangalore,Delhi,3470,800,Delhivery,Summer,9,10,1,4
Pune,Lucknow,4952,800,Delhivery,Winter,7,10,1,4
Delhi,Kolkata,1933,1500,BlueDart,Summer,8,8,0,0
Chennai,Lucknow,643,800,BlueDart,Monsoon,2,4,0,0
Delhi,Bangalore,4113,800,Delhivery,Winter,9,2,0,0
Kolkata,Chennai,1402,1660,FedEx,Monsoon,3,1,1,3
Jaipur,Kolkata,3456,800,FedEx,Monsoon,10,7,1,5
Mumbai,Bangalore,3108,800,BlueDart,Winter,5,10,1,3
Kolkata,Mumbai,4954,800,DTDC,Autumn,7,3,0,0
Jaipur,Ahmedabad,71,800,Delhivery,Monsoon,4,6,1,4
Mumbai,Delhi,2479,800,DHL,Summer,7,5,1,3
Jaipur,Pune,1827,800,FedEx,Autumn,8,5,0,0
Pune,Bangalore,642,800,DTDC,Autumn,10,2,1,4
Chennai,Ahmedabad,4897,800,FedEx,Winter,10,9,0,0
Lucknow,Ahmedabad,2608,800,DTDC,Summer,4,4,0,0
Kolkata,Mumbai,3461,800,Delhivery,Summer,5,10,1,4
Kolkata,Ahmedabad,1310,800,Delhivery,Autumn,3,1,0,0
Hyderabad,Pune,2663,800,Delhivery,Monsoon,5,2,1,4
Ahmedabad,Hyderabad,1464,800,BlueDart,Monsoon,8,9,0,0
Pune,Chennai,1148,800,DTDC,Summer,3,7,0,0
Pune,Mumbai,3202,800,DHL,Autumn,5,10,0,0
Delhi,Lucknow,4630,800,DHL,Autumn,10,2,0,0
Jaipur,Chennai,2220,800,Delhivery,Autumn,1,7,0,0
Ahmedabad,Pune,4892,800,DHL,Winter,2,4,0,0
Chennai,Pune,3769,800,FedEx,Summer,3,10,0,0
Chennai,Delhi,3039,800,DTDC,Summer,1,2,0,0
Pune,Mumbai,1370,800,DTDC,Monsoon,9,4,1,5
Chennai,Jaipur,2436,800,DTDC,Monsoon,9,5,1,5
Hyderabad,Jaipur,4278,800,FedEx,Summer,5,4,1,2
Kolkata,Pune,73,800,BlueDart,Summer,4,3,0,0
Bangalore,Jaipur,1355,800,FedEx,Monsoon,5,6,0,0
Lucknow,Bangalore,984,800,DTDC,Summer,4,1,0,0
Delhi,Bangalore,4171,800,DTDC,Monsoon,5,8,0,0
Jaipur,Ahmedabad,3638,800,DTDC,Summer,7,5,1,3
Lucknow,Pune,1632,800,DHL,Winter,8,8,1,4
Jaipur,Mumbai,467,800,BlueDart,Winter,2,10,1,3
Mumbai,Lucknow,3340,800,FedEx,Autumn,4,4,0,0
Lucknow,Chennai,1750,800,DTDC,Summer,8,4,1,3
Bangalore,Kolkata,3036,1900,Delhivery,Monsoon,7,5,1,5
Pune,Bangalore,1964,800,BlueDart,Summer,9,5,1,3
Hyderabad,Ahmedabad,289,800,Delhivery,Summer,5,6,1,3
Kolkata,Mumbai,2401,800,BlueDart,Autumn,6,5,1,3
Kolkata,Ahmedabad,1050,800,DTDC,Monsoon,8,5,1,5
Hyderabad,Delhi,971,800,BlueDart,Summer,5,8,1,3
Ahmedabad,Lucknow,3855,800,BlueDart,Monsoon,9,6,0,0
Mumbai,Bangalore,1227,800,DTDC,Summer,4,2,1,2
Jaipur,Ahmedabad,3230,800,Delhivery,Autumn,8,4,1,3
Bangalore,Mumbai,384,800,Delhivery,Monsoon,3,4,0,0
Chennai,Pune,4140,800,DHL,Summer,5,5,1,3
Lucknow,Kolkata,1402,800,Delhivery,Winter,8,6,0,0
Mumbai,Jaipur,2086,800,Delhivery,Monsoon,10,5,0,0
Lucknow,Chennai,784,800,BlueDart,Autumn,7,6,0,0
Bangalore,Pune,4326,800,DHL,Winter,1,8,0,0
Delhi,Ahmedabad,3434,800,DTDC,Monsoon,4,4,1,4
Delhi,Hyderabad,2133,800,DTDC,Monsoon,2,3,1,3
Mumbai,Kolkata,4599,800,FedEx,Monsoon,2,9,1,4
Pune,Ahmedabad,3603,800,DHL,Monsoon,7,3,1,4
Bangalore,Hyderabad,289,800,BlueDart,Summer,3,8,1,3
Bangalore,Hyderabad,4851,800,FedEx,Summer,3,10,0,0
Hyderabad,Mumbai,2821,800,FedEx,Monsoon,6,5,1,4
Pune,Delhi,2352,800,DTDC,Autumn,6,9,0,0
Jaipur,Kolkata,1484,800,Delhivery,Summer,1,3,0,0
Jaipur,Bangalore,1867,800,BlueDart,Monsoon,1,10,1,4
Chennai,Delhi,2899,800,DHL,Monsoon,6,10,1,5
Kolkata,Chennai,1069,1660,FedEx,Autumn,7,8,1,4
Delhi,Kolkata,1932,1500,BlueDart,Autumn,9,7,0,0
Jaipur,Chennai,3809,800,DTDC,Autumn,4,7,1,3
Pune,Chennai,4602,800,FedEx,Winter,10,10,0,0
Bangalore,Chennai,2483,350,FedEx,Monsoon,6,9,0,0
Jaipur,Ahmedabad,4149,800,DTDC,Autumn,3,8,0,0
Bangalore,Lucknow,1861,800,DTDC,Monsoon,4,3,1,4
Jaipur,Kolkata,3551,800,DTDC,Summer,9,6,0,0
Delhi,Kolkata,4559,1500,BlueDart,Monsoon,1,6,1,3
Lucknow,Delhi,604,800,BlueDart,Monsoon,5,5,1,4
Jaipur,Delhi,516,800,BlueDart,Winter,7,3,1,3
Pune,Kolkata,4899,800,Delhivery,Summer,3,9,0,0
Jaipur,Ahmedabad,30,800,FedEx,Summer,2,7,0,0
Kolkata,Lucknow,1409,800,BlueDart,Winter,2,4,0,0
Delhi,Pune,3211,800,Delhivery,Autumn,1,6,0,0
Pune,Kolkata,2471,800,FedEx,Autumn,5,5,1,3
Hyderabad,Ahmedabad,3688,800,BlueDart,Monsoon,3,1,0,0
Pune,Bangalore,346,800,DTDC,Winter,7,2,1,3
Kolkata,Hyderabad,1677,800,DHL,Autumn,1,1,0,0
Lucknow,Pune,3586,800,BlueDart,Summer,9,9,1,4
Delhi,Mumbai,919,800,DHL,Winter,2,9,0,0
Hyderabad,Mumbai,285,800,BlueDart,Autumn,8,5,1,3
Kolkata,Pune,901,800,DTDC,Summer,10,8,1,4
Kolkata,Hyderabad,22,800,DHL,Winter,4,10,1,3
Mumbai,Hyderabad,4067,800,Delhivery,Monsoon,6,4,1,4
Delhi,Mumbai,3035,800,DTDC,Monsoon,9,1,1,4
Pune,Lucknow,983,800,DHL,Summer,7,4,0,0
Bangalore,Mumbai,4280,800,DHL,Autumn,8,7,0,0
Lucknow,Kolkata,3980,800,DTDC,Autumn,7,2,1,3
Bangalore,Lucknow,1418,800,DTDC,Winter,2,2,0,0
Pune,Chennai,1953,800,DTDC,Summer,9,6,1,4
Pune,Jaipur,2298,800,FedEx,Autumn,1,9,0,0
Delhi,Ahmedabad,556,800,Delhivery,Monsoon,2,3,0,0
Pune,Bangalore,1228,800,BlueDart,Summer,3,7,0,0
Mumbai,Kolkata,1430,800,DHL,Monsoon,3,10,1,4
Hyderabad,Delhi,1464,800,BlueDart,Summer,10,9,1,4
Pune,Mumbai,3387,800,DTDC,Winter,4,9,0,0
Bangalore,Jaipur,2782,800,Delhivery,Autumn,5,4,0,0
Pune,Mumbai,4108,800,Delhivery,Autumn,6,2,1,3
Mumbai,Delhi,2748,800,FedEx,Autumn,1,1,0,0
Jaipur,Chennai,3757,800,DTDC,Monsoon,8,6,0,0
Jaipur,Hyderabad,1852,800,DHL,Autumn,6,5,1,3
Kolkata,Lucknow,756,800,FedEx,Summer,10,6,0,0
Lucknow,Mumbai,2826,800,DTDC,Monsoon,9,7,1,5
Chennai,Pune,881,800,FedEx,Winter,5,9,0,0
Hyderabad,Kolkata,504,800,BlueDart,Monsoon,7,10,1,5
Ahmedabad,Jaipur,3454,800,DTDC,Winter,4,10,0,0
Kolkata,Pune,4733,800,DHL,Monsoon,6,6,0,0
Lucknow,Chennai,1085,800,DHL,Autumn,6,6,1,3
Jaipur,Chennai,4004,800,DTDC,Winter,4,3,1,2
Bangalore,Ahmedabad,4247,800,FedEx,Autumn,6,8,0,0
Ahmedabad,Hyderabad,55,800,Delhivery,Monsoon,8,9,1,5
Lucknow,Jaipur,3066,800,DTDC,Winter,5,1,0,0
Lucknow,Kolkata,2067,800,DHL,Summer,2,6,1,2
Kolkata,Jaipur,673,800,BlueDart,Summer,9,7,0,0
Ahmedabad,Kolkata,4678,800,DHL,Monsoon,4,8,1,4
Delhi,Bangalore,2039,800,Delhivery,Winter,4,10,1,3
Chennai,Ahmedabad,2706,800,DHL,Summer,7,8,1,3
Delhi,Lucknow,649,800,Delhivery,Autumn,10,7,0,0
Ahmedabad,Bangalore,2673,800,DTDC,Autumn,10,8,1,4
Delhi,Mumbai,2755,800,DHL,Monsoon,6,9,0,0
Mumbai,Delhi,4974,800,FedEx,Autumn,4,10,0,0
Jaipur,Bangalore,4958,800,FedEx,Autumn,6,7,1,3
Mumbai,Hyderabad,4412,800,DHL,Autumn,3,3,0,0
Pune,Bangalore,2605,800,DHL,Summer,7,9,1,4
Delhi,Lucknow,3437,800,BlueDart,Winter,6,1,0,0
Pune,Jaipur,404,800,DHL,Monsoon,3,8,1,4
Bangalore,Chennai,3607,350,BlueDart,Winter,1,6,0,0
Hyderabad,Lucknow,4854,800,BlueDart,Winter,10,3,0,0
Bangalore,Ahmedabad,2342,800,BlueDart,Winter,5,9,1,3
Ahmedabad,Pune,339,800,BlueDart,Summer,10,6,1,4
Lucknow,Chennai,2107,800,DTDC,Autumn,2,7,0,0
Jaipur,Chennai,782,800,FedEx,Monsoon,7,2,0,0
Delhi,Bangalore,1655,800,BlueDart,Winter,7,1,0,0
Kolkata,Hyderabad,1742,800,FedEx,Autumn,4,1,0,0
Hyderabad,Jaipur,4483,800,BlueDart,Summer,6,3,1,3
Chennai,Pune,1797,800,FedEx,Winter,1,3,0,0
Chennai,Pune,1633,800,DHL,Autumn,2,8,0,0
Chennai,Ahmedabad,1009,800,DHL,Summer,6,7,0,0
Delhi,Chennai,1858,800,FedEx,Autumn,2,10,0,0
Chennai,Hyderabad,1571,800,BlueDart,Monsoon,4,8,1,4
Mumbai,Delhi,783,800,DTDC,Autumn,4,1,0,0
Hyderabad,Pune,1813,800,FedEx,Autumn,10,4,1,4
Mumbai,Lucknow,1108,800,Delhivery,Monsoon,9,8,1,5
Lucknow,Mumbai,2060,800,DTDC,Monsoon,10,10,1,6
Hyderabad,Delhi,1608,800,Delhivery,Autumn,7,2,1,3
Mumbai,Chennai,757,800,FedEx,Monsoon,7,7,0,0
Hyderabad,Bangalore,3983,800,BlueDart,Autumn,1,8,0,0
Lucknow,Pune,2332,800,Delhivery,Winter,5,9,1,4
Pune,Ahmedabad,1563,800,FedEx,Autumn,3,7,0,0
Delhi,Ahmedabad,1625,800,DTDC,Summer,3,9,0,0
Delhi,Kolkata,3764,1500,BlueDart,Monsoon,6,2,1,4
Chennai,Lucknow,4434,800,Delhivery,Winter,4,1,0,0
Bangalore,Mumbai,2312,800,FedEx,Monsoon,8,1,1,4
Chennai,Delhi,4231,800,BlueDart,Monsoon,4,4,0,0
Ahmedabad,Chennai,4872,800,BlueDart,Monsoon,8,1,1,4
Mumbai,Chennai,3665,800,DHL,Summer,4,7,0,0
Hyderabad,Mumbai,3405,800,BlueDart,Summer,3,8,1,3
Bangalore,Hyderabad,226,800,FedEx,Autumn,5,3,0,0
Lucknow,Ahmedabad,3326,800,DTDC,Summer,5,1,1,2
Ahmedabad,Delhi,1369,800,DHL,Monsoon,10,3,1,4
Lucknow,Kolkata,3784,800,FedEx,Winter,10,2,0,0
Delhi,Ahmedabad,4937,800,FedEx,Winter,1,6,0,0
Delhi,Pune,4287,800,FedEx,Winter,8,7,0,0
Chennai,Mumbai,4439,800,Delhivery,Monsoon,8,9,1,5
Mumbai,Pune,4616,800,Delhivery,Summer,8,5,0,0
Bangalore,Kolkata,4488,1900,DTDC,Winter,10,4,1,5
Jaipur,Pune,1906,800,FedEx,Monsoon,4,1,1,3
Ahmedabad,Chennai,4437,800,Delhivery,Monsoon,9,6,1,5
Ahmedabad,Hyderabad,909,800,Delhivery,Winter,10,8,0,0
Chennai,Lucknow,651,800,Delhivery,Winter,3,4,0,0
Delhi,Hyderabad,4739,800,DTDC,Autumn,7,1,1,3
Chennai,Kolkata,3637,1660,DTDC,Autumn,6,5,0,0
Hyderabad,Jaipur,205,800,FedEx,Monsoon,9,10,1,5
Bangalore,Lucknow,1903,800,DHL,Autumn,4,5,1,2
Mumbai,Kolkata,3285,800,FedEx,Autumn,4,2,0,0
Pune,Bangalore,4060,800,Delhivery,Winter,6,6,1,3
Kolkata,Jaipur,4563,800,Delhivery,Autumn,8,10,0,0
Kolkata,Hyderabad,4935,800,BlueDart,Monsoon,3,9,1,4
Chennai,Delhi,2314,800,FedEx,Winter,8,6,1,3
Hyderabad,Lucknow,3610,800,Delhivery,Autumn,8,8,0,0
Bangalore,Chennai,3353,350,Delhivery,Autumn,7,10,1,4
Jaipur,Delhi,2066,800,DHL,Autumn,7,3,1,3
Kolkata,Mumbai,2818,800,BlueDart,Summer,5,10,0,0
Bangalore,Jaipur,1234,800,FedEx,Autumn,2,2,1,2
Mumbai,Chennai,896,800,DTDC,Autumn,2,4,1,2
Lucknow,Ahmedabad,402,800,FedEx,Monsoon,10,9,1,5
Hyderabad,Mumbai,1685,800,FedEx,Autumn,8,9,0,0
Delhi,Mumbai,3200,800,DHL,Summer,6,3,0,0
Bangalore,Lucknow,2456,800,FedEx,Winter,8,1,0,0
Mumbai,Jaipur,3915,800,DHL,Autumn,3,1,1,2
Jaipur,Bangalore,3348,800,DHL,Autumn,1,4,0,0
Pune,Hyderabad,3601,800,Delhivery,Monsoon,6,4,1,4
Delhi,Chennai,3776,800,DTDC,Autumn,2,10,1,3
Pune,Chennai,2537,800,DHL,Autumn,9,6,1,4
Jaipur,Mumbai,2191,800,BlueDart,Autumn,5,5,0,0
Mumbai,Hyderabad,3774,800,BlueDart,Autumn,5,6,0,0
Kolkata,Mumbai,364,800,DTDC,Winter,10,10,1,5
Pune,Mumbai,2641,800,DHL,Monsoon,8,7,1,5
Delhi,Pune,1531,800,DTDC,Winter,6,7,1,3
Chennai,Ahmedabad,2682,800,Delhivery,Summer,3,10,0,0
Ahmedabad,Delhi,3188,800,BlueDart,Autumn,9,10,0,0
Bangalore,Delhi,2347,800,FedEx,Summer,10,9,0,0
Kolkata,Pune,638,800,BlueDart,Winter,4,6,0,0
Pune,Mumbai,2689,800,DHL,Summer,10,8,1,4
Lucknow,Delhi,4432,800,DTDC,Autumn,4,2,0,0
Bangalore,Jaipur,1448,800,BlueDart,Summer,2,8,0,0
Chennai,Ahmedabad,1431,800,FedEx,Winter,3,9,0,0
Jaipur,Delhi,1136,800,FedEx,Autumn,4,4,1,2
Ahmedabad,Pune,2693,800,DTDC,Monsoon,7,5,0,0
Mumbai,Kolkata,1790,800,DTDC,Winter,3,5,0,0
Chennai,Delhi,1541,800,BlueDart,Autumn,8,2,1,3
Chennai,Ahmedabad,1924,800,DHL,Monsoon,8,5,0,0
Jaipur,Lucknow,1242,800,Delhivery,Summer,10,9,1,5
Hyderabad,Lucknow,1966,800,FedEx,Summer,2,4,1,2
Jaipur,Pune,402,800,DTDC,Summer,4,10,1,3
Hyderabad,Bangalore,835,800,Delhivery,Autumn,8,3,1,3
Hyderabad,Bangalore,2973,800,Delhivery,Summer,1,7,1,2
Kolkata,Delhi,2405,1500,Delhivery,Summer,1,8,0,0
Kolkata,Hyderabad,4155,800,DHL,Monsoon,4,10,0,0
Delhi,Kolkata,4905,1500,DTDC,Monsoon,2,6,1,4
Pune,Ahmedabad,1802,800,FedEx,Monsoon,1,6,0,0
Pune,Chennai,3074,800,DTDC,Autumn,8,5,0,0
Mumbai,Lucknow,1373,800,BlueDart,Winter,2,6,0,0
Pune,Delhi,2358,800,FedEx,Summer,4,9,0,0
Kolkata,Ahmedabad,3561,800,DTDC,Summer,3,2,1,2
Delhi,Pune,3638,800,FedEx,Autumn,2,10,0,0
Delhi,Kolkata,3346,1500,BlueDart,Summer,8,3,0,0
Hyderabad,Ahmedabad,1575,800,FedEx,Autumn,3,1,0,0
Jaipur,Ahmedabad,3677,800,Delhivery,Autumn,9,4,0,0
Mumbai,Kolkata,2223,800,DHL,Autumn,10,2,1,3
Hyderabad,Jaipur,4106,800,BlueDart,Winter,5,6,0,0
Jaipur,Lucknow,1029,800,FedEx,Autumn,9,1,1,3
Pune,Mumbai,1294,800,BlueDart,Winter,3,8,0,0
Hyderabad,Pune,72,800,Delhivery,Winter,5,10,0,0
Bangalore,Lucknow,2540,800,DHL,Summer,10,6,1,4
Pune,Kolkata,3402,800,BlueDart,Monsoon,6,9,1,4
Jaipur,Delhi,3282,800,Delhivery,Winter,9,6,0,0
Mumbai,Ahmedabad,2279,800,Delhivery,Winter,8,10,1,4
Jaipur,Ahmedabad,4257,800,Delhivery,Monsoon,2,7,0,0
Hyderabad,Delhi,653,800,FedEx,Winter,2,5,0,0
Hyderabad,Delhi,4731,800,DTDC,Monsoon,5,8,0,0
Chennai,Mumbai,226,800,BlueDart,Summer,5,8,1,3
Mumbai,Kolkata,205,800,DTDC,Autumn,5,10,0,0
Lucknow,Ahmedabad,3874,800,Delhivery,Monsoon,4,9,1,4
Pune,Lucknow,3283,800,DTDC,Autumn,8,6,1,4
Delhi,Chennai,2704,800,Delhivery,Monsoon,5,1,0,0
Mumbai,Pune,3222,800,Delhivery,Autumn,1,9,0,0
Delhi,Pune,2765,800,DHL,Summer,10,3,1,3
Mumbai,Pune,1531,800,DHL,Winter,5,9,1,3
Mumbai,Bangalore,1090,800,DTDC,Summer,1,7,0,0
Jaipur,Hyderabad,731,800,BlueDart,Winter,4,3,1,2
Mumbai,Bangalore,1572,800,DTDC,Autumn,1,9,0,0
Chennai,Ahmedabad,649,800,BlueDart,Autumn,6,7,0,0
Lucknow,Bangalore,4270,800,DTDC,Winter,6,7,0,0
Hyderabad,Delhi,4320,800,FedEx,Monsoon,1,7,1,3
Ahmedabad,Hyderabad,3797,800,FedEx,Summer,8,2,1,3
Delhi,Bangalore,3746,800,BlueDart,Monsoon,4,4,0,0
Hyderabad,Kolkata,99,800,DHL,Autumn,2,10,0,0
Ahmedabad,Delhi,2931,800,BlueDart,Summer,1,8,0,0
Lucknow,Bangalore,1261,800,DTDC,Summer,3,2,1,2
Lucknow,Bangalore,1112,800,Delhivery,Monsoon,7,4,1,4
Delhi,Ahmedabad,4713,800,FedEx,Winter,10,10,0,0
Delhi,Ahmedabad,358,800,Delhivery,Winter,10,8,0,0
Lucknow,Bangalore,3923,800,FedEx,Summer,8,3,1,3
Ahmedabad,Bangalore,4062,800,DTDC,Winter,5,6,0,0
Mumbai,Delhi,2951,800,FedEx,Autumn,7,2,0,0
Pune,Ahmedabad,255,800,BlueDart,Monsoon,2,8,0,0
Bangalore,Jaipur,281,800,Delhivery,Monsoon,4,8,1,4
Hyderabad,Delhi,2040,800,Delhivery,Monsoon,6,1,1,4
Jaipur,Chennai,4508,800,DTDC,Summer,5,3,0,0
Hyderabad,Pune,3197,800,Delhivery,Summer,6,2,1,3
Jaipur,Pune,3516,800,DTDC,Winter,2,7,1,3
Ahmedabad,Mumbai,1475,800,DHL,Monsoon,7,7,1,4
Jaipur,Chennai,1205,800,BlueDart,Autumn,8,4,1,3
Delhi,Ahmedabad,3097,800,FedEx,Autumn,9,8,0,0
Pune,Bangalore,3018,800,FedEx,Monsoon,6,3,1,4
Pune,Kolkata,3833,800,FedEx,Summer,7,9,1,4
Delhi,Lucknow,1624,800,DHL,Summer,1,5,0,0
Chennai,Bangalore,1136,350,BlueDart,Summer,9,2,0,0
Ahmedabad,Kolkata,4389,800,Delhivery,Autumn,6,9,1,4
Chennai,Jaipur,526,800,Delhivery,Monsoon,4,1,0,0
Chennai,Ahmedabad,2675,800,BlueDart,Autumn,10,8,1,4
Hyderabad,Chennai,1311,800,BlueDart,Monsoon,9,6,1,5
Lucknow,Pune,621,800,FedEx,Autumn,1,1,0,0
Hyderabad,Bangalore,759,800,Delhivery,Autumn,2,4,0,0
Lucknow,Bangalore,1866,800,BlueDart,Winter,3,3,0,0
Bangalore,Kolkata,409,1900,Delhivery,Autumn,1,7,0,0
Jaipur,Lucknow,1536,800,BlueDart,Monsoon,2,7,0,0
Lucknow,Kolkata,2034,800,DTDC,Autumn,2,6,0,0
Delhi,Jaipur,329,800,FedEx,Winter,7,10,0,0
Hyderabad,Ahmedabad,345,800,BlueDart,Winter,10,10,0,0
Ahmedabad,Bangalore,2108,800,DHL,Monsoon,6,8,0,0
Jaipur,Pune,183,800,BlueDart,Winter,9,7,1,4
Bangalore,Lucknow,4029,800,DTDC,Winter,5,4,1,3
Lucknow,Pune,1651,800,DHL,Summer,9,7,1,4
Bangalore,Kolkata,510,1900,DHL,Monsoon,10,1,0,0
Ahmedabad,Hyderabad,3656,800,BlueDart,Winter,9,3,0,0
Chennai,Mumbai,2373,800,DTDC,Winter,2,2,0,0
Pune,Chennai,1866,800,DHL,Winter,9,7,1,4
Ahmedabad,Jaipur,3162,800,FedEx,Monsoon,3,9,1,4
Kolkata,Mumbai,1906,800,FedEx,Summer,3,5,1,2
Ahmedabad,Bangalore,1728,800,Delhivery,Autumn,9,9,0,0
Bangalore,Mumbai,1788,800,Delhivery,Summer,7,8,0,0
Delhi,Lucknow,4802,800,DTDC,Monsoon,8,1,0,0
Hyderabad,Delhi,3067,800,DHL,Monsoon,7,2,1,4
